employee_id,name,country_code,currency,salary_amount
EMP0074,Richard Thomas,ITA,EUR,12396.94
EMP0075,Linda Jackson,GBR,GBP,3648.28
EMP0076,Joseph White,CAN,CAD,11745.30
EMP0077,Elizabeth Harris,AUS,AUD,7905.40
EMP0078,Thomas Martin,FRA,EUR,8514.69
EMP0079,Jessica Thompson,DEU,EUR,4862.23
EMP0080,Charles Garcia,JPN,JPY,4823.23
EMP0081,Susan Martinez,SGP,SGD,12217.05
EMP0082,Christopher Robinson,NLD,EUR,7739.88
EMP0083,Karen Clark,SWE,SEK,12004.48
EMP0084,Daniel Rodriguez,CHE,CHF,5289.62
EMP0085,Nancy Lewis,USA,USD,10696.94
EMP0086,Matthew Lee,ITA,EUR,12836.76
EMP0087,Betty Walker,GBR,GBP,4534.52
EMP0088,Anthony Hall,CAN,CAD,3726.05
EMP0089,Margaret Allen,AUS,AUD,11073.08
EMP0090,Mark Young,FRA,EUR,14879.89
EMP0091,Stacy Jones,DEU,EUR,12449.10
EMP0092,Gene Wells,JPN,JPY,7035.73
EMP0093,Sarah Chen,SGP,SGD,8547.68
EMP0094,Michael Smith,NLD,EUR,3199.11
EMP0095,Emily Johnson,SWE,SEK,3309.60
EMP0096,David Williams,CHE,CHF,7585.12
EMP0097,Lisa Brown,USA,USD,8038.13
EMP0098,James Davis,ITA,EUR,14685.03
EMP0099,Maria Miller,GBR,GBP,9676.98
EMP0100,Robert Wilson,CAN,CAD,12579.55
EMP0101,Jennifer Moore,AUS,AUD,3017.27
EMP0102,William Taylor,FRA,EUR,13980.14
EMP0103,Patricia Anderson,DEU,EUR,7061.75
EMP0104,Richard Thomas,JPN,JPY,12165.11
EMP0105,Linda Jackson,SGP,SGD,13626.86
EMP0106,Joseph White,NLD,EUR,6243.03
EMP0107,Elizabeth Harris,SWE,SEK,8595.74
EMP0108,Thomas Martin,CHE,CHF,4031.78
EMP0109,Jessica Thompson,USA,USD,13937.66
EMP0110,Charles Garcia,ITA,EUR,11793.28
EMP0111,Susan Martinez,GBR,GBP,13249.34
EMP0112,Christopher Robinson,CAN,CAD,11683.57
EMP0113,Karen Clark,AUS,AUD,9403.36
EMP0114,Daniel Rodriguez,FRA,EUR,4928.46
EMP0115,Nancy Lewis,DEU,EUR,6899.81
EMP0116,Matthew Lee,JPN,JPY,12343.59
EMP0117,Betty Walker,SGP,SGD,4998.32
EMP0118,Anthony Hall,NLD,EUR,8784.17
EMP0119,Margaret Allen,SWE,SEK,14546.84
EMP0120,Mark Young,CHE,CHF,6479.44
EMP0121,Stacy Jones,USA,USD,9176.47
EMP0122,Gene Wells,ITA,EUR,4416.09
EMP0123,Sarah Chen,GBR,GBP,9109.83
EMP0124,Michael Smith,CAN,CAD,5583.87
EMP0125,Emily Johnson,AUS,AUD,9060.67
EMP0126,David Williams,FRA,EUR,8494.11
EMP0127,Lisa Brown,DEU,EUR,10900.84
EMP0128,James Davis,JPN,JPY,14341.21
EMP0129,Maria Miller,SGP,SGD,4722.91
EMP0130,Robert Wilson,NLD,EUR,12423.01
EMP0131,Jennifer Moore,SWE,SEK,7518.01
EMP0132,William Taylor,CHE,CHF,5159.62
EMP0133,Patricia Anderson,USA,USD,6916.96
EMP0134,Richard Thomas,ITA,EUR,10810.80
EMP0135,Linda Jackson,GBR,GBP,14066.39
EMP0136,Joseph White,CAN,CAD,6718.18
EMP0137,Elizabeth Harris,AUS,AUD,11320.90
EMP0138,Thomas Martin,FRA,EUR,3467.54
EMP0139,Jessica Thompson,DEU,EUR,13628.53
EMP0140,Charles Garcia,JPN,JPY,6588.63
EMP0141,Susan Martinez,SGP,SGD,4041.95
EMP0142,Christopher Robinson,NLD,EUR,7944.57
EMP0143,Karen Clark,SWE,SEK,9780.47
EMP0144,Daniel Rodriguez,CHE,CHF,12211.03
EMP0145,Nancy Lewis,USA,USD,8586.53
EMP0146,Matthew Lee,ITA,EUR,4919.90
EMP0147,Betty Walker,GBR,GBP,8964.95
EMP0148,Anthony Hall,CAN,CAD,7771.07
EMP0149,Margaret Allen,AUS,AUD,14009.06
EMP0150,Mark Young,FRA,EUR,13157.70
EMP0151,Stacy Jones,DEU,EUR,13048.64
EMP0152,Gene Wells,JPN,JPY,7508.73
EMP0153,Sarah Chen,SGP,SGD,12953.15
EMP0154,Michael Smith,NLD,EUR,11768.48
EMP0155,Emily Johnson,SWE,SEK,11954.47
EMP0156,David Williams,CHE,CHF,14134.77
EMP0157,Lisa Brown,USA,USD,5252.43
EMP0158,James Davis,ITA,EUR,12941.61
EMP0159,Maria Miller,GBR,GBP,14230.65
EMP0160,Robert Wilson,CAN,CAD,9521.68
EMP0161,Jennifer Moore,AUS,AUD,14705.89
EMP0162,William Taylor,FRA,EUR,5112.19
EMP0163,Patricia Anderson,DEU,EUR,11311.16
EMP0164,Richard Thomas,JPN,JPY,12783.03
EMP0165,Linda Jackson,SGP,SGD,6183.58
EMP0166,Joseph White,NLD,EUR,4613.97
EMP0167,Elizabeth Harris,SWE,SEK,8451.45
EMP0168,Thomas Martin,CHE,CHF,14521.32
EMP0169,Jessica Thompson,USA,USD,10980.88
EMP0170,Charles Garcia,ITA,EUR,9982.58
EMP0171,Susan Martinez,GBR,GBP,6121.75
EMP0172,Christopher Robinson,CAN,CAD,14071.77
EMP0173,Karen Clark,AUS,AUD,11991.68
EMP0174,Daniel Rodriguez,FRA,EUR,10506.39
EMP0175,Nancy Lewis,DEU,EUR,5999.54
EMP0176,Matthew Lee,JPN,JPY,10804.82
EMP0177,Betty Walker,SGP,SGD,3611.83
EMP0178,Anthony Hall,NLD,EUR,6957.26
EMP0179,Margaret Allen,SWE,SEK,10256.21
EMP0180,Mark Young,CHE,CHF,11576.14
EMP0181,Stacy Jones,USA,USD,8793.60
EMP0182,Gene Wells,ITA,EUR,9927.16
EMP0183,Sarah Chen,GBR,GBP,7950.46
EMP0184,Michael Smith,CAN,CAD,8939.20
EMP0185,Emily Johnson,AUS,AUD,12314.76
EMP0186,David Williams,FRA,EUR,5352.91
EMP0187,Lisa Brown,DEU,EUR,14710.97
EMP0188,James Davis,JPN,JPY,3119.36
EMP0189,Maria Miller,SGP,SGD,7416.08
EMP0190,Robert Wilson,NLD,EUR,8180.76
EMP0191,Jennifer Moore,SWE,SEK,10846.32
EMP0192,William Taylor,CHE,CHF,13388.16
EMP0193,Patricia Anderson,USA,USD,13758.90
EMP0194,Richard Thomas,ITA,EUR,4305.14
EMP0195,Linda Jackson,GBR,GBP,3070.72
EMP0196,Joseph White,CAN,CAD,12647.64
EMP0197,Elizabeth Harris,AUS,AUD,11191.14
EMP0198,Thomas Martin,FRA,EUR,10366.34
EMP0199,Jessica Thompson,DEU,EUR,5048.02
EMP0200,Charles Garcia,JPN,JPY,6538.12
EMP0201,Susan Martinez,SGP,SGD,8773.25
EMP0202,Christopher Robinson,NLD,EUR,4745.48
EMP0203,Karen Clark,SWE,SEK,14181.76
EMP0204,Daniel Rodriguez,CHE,CHF,11235.74
EMP0205,Nancy Lewis,USA,USD,6225.36
EMP0206,Matthew Lee,ITA,EUR,10852.85
EMP0207,Betty Walker,GBR,GBP,14812.12
EMP0208,Anthony Hall,CAN,CAD,11967.17
EMP0209,Margaret Allen,AUS,AUD,9383.67
EMP0210,Mark Young,FRA,EUR,13377.16
EMP0211,Stacy Jones,DEU,EUR,9923.39
EMP0212,Gene Wells,JPN,JPY,10676.08
EMP0213,Sarah Chen,SGP,SGD,14874.25
EMP0214,Michael Smith,NLD,EUR,11055.09
EMP0215,Emily Johnson,SWE,SEK,9543.41
EMP0216,David Williams,CHE,CHF,10702.99
EMP0217,Lisa Brown,USA,USD,5841.23
EMP0218,James Davis,ITA,EUR,6590.92
EMP0219,Maria Miller,GBR,GBP,5682.13
EMP0220,Robert Wilson,CAN,CAD,8802.53
EMP0221,Jennifer Moore,AUS,AUD,8743.56
EMP0222,William Taylor,FRA,EUR,8660.99
EMP0223,Patricia Anderson,DEU,EUR,14163.51
EMP0224,Richard Thomas,JPN,JPY,4510.02
EMP0225,Linda Jackson,SGP,SGD,7912.40
EMP0226,Joseph White,NLD,EUR,7606.91
EMP0227,Elizabeth Harris,SWE,SEK,7716.00
EMP0228,Thomas Martin,CHE,CHF,12424.55
EMP0229,Jessica Thompson,USA,USD,13121.00
EMP0230,Charles Garcia,ITA,EUR,8926.74
EMP0231,Susan Martinez,GBR,GBP,3371.06
EMP0232,Christopher Robinson,CAN,CAD,10695.55
EMP0233,Karen Clark,AUS,AUD,13376.61
EMP0234,Daniel Rodriguez,FRA,EUR,8060.19
EMP0235,Nancy Lewis,DEU,EUR,8682.09
EMP0236,Matthew Lee,JPN,JPY,5060.25
EMP0237,Betty Walker,SGP,SGD,7739.03
EMP0238,Anthony Hall,NLD,EUR,6630.08
EMP0239,Margaret Allen,SWE,SEK,12791.98
EMP0240,Mark Young,CHE,CHF,5847.44
EMP0241,Stacy Jones,USA,USD,14807.05
EMP0242,Gene Wells,ITA,EUR,4693.58
EMP0243,Sarah Chen,GBR,GBP,7572.80
EMP0244,Michael Smith,CAN,CAD,13126.91
EMP0245,Emily Johnson,AUS,AUD,8181.39
EMP0246,David Williams,FRA,EUR,12698.85
EMP0247,Lisa Brown,DEU,EUR,5081.12
EMP0248,James Davis,JPN,JPY,11753.94
EMP0249,Maria Miller,SGP,SGD,13781.85
EMP0250,Robert Wilson,NLD,EUR,14634.90
EMP0251,Jennifer Moore,SWE,SEK,6848.08
EMP0252,William Taylor,CHE,CHF,12774.29
EMP0253,Patricia Anderson,USA,USD,11281.70
EMP0254,Richard Thomas,ITA,EUR,5938.71
EMP0255,Linda Jackson,GBR,GBP,5901.38
EMP0256,Joseph White,CAN,CAD,9330.29
EMP0257,Elizabeth Harris,AUS,AUD,14306.05
EMP0258,Thomas Martin,FRA,EUR,11299.93
EMP0259,Jessica Thompson,DEU,EUR,8720.81
EMP0260,Charles Garcia,JPN,JPY,8923.11
EMP0261,Susan Martinez,SGP,SGD,8099.83
EMP0262,Christopher Robinson,NLD,EUR,6620.83
EMP0263,Karen Clark,SWE,SEK,11802.46
EMP0264,Daniel Rodriguez,CHE,CHF,6936.71
EMP0265,Nancy Lewis,USA,USD,12790.49
EMP0266,Matthew Lee,ITA,EUR,9112.48
EMP0267,Betty Walker,GBR,GBP,3492.81
EMP0268,Anthony Hall,CAN,CAD,13851.59
EMP0269,Margaret Allen,AUS,AUD,6829.48
EMP0270,Mark Young,FRA,EUR,12247.74
EMP0271,Stacy Jones,DEU,EUR,14621.27
EMP0272,Gene Wells,JPN,JPY,14512.90
EMP0273,Sarah Chen,SGP,SGD,7620.71
EMP0274,Michael Smith,NLD,EUR,9468.29
EMP0275,Emily Johnson,SWE,SEK,5924.29
EMP0276,David Williams,CHE,CHF,7099.62
EMP0277,Lisa Brown,USA,USD,11335.04
EMP0278,James Davis,ITA,EUR,10815.20
EMP0279,Maria Miller,GBR,GBP,6780.33
EMP0280,Robert Wilson,CAN,CAD,12403.93
EMP0281,Jennifer Moore,AUS,AUD,3056.67
EMP0282,William Taylor,FRA,EUR,5389.81
EMP0283,Patricia Anderson,DEU,EUR,13826.36
EMP0284,Richard Thomas,JPN,JPY,4942.30
EMP0285,Linda Jackson,SGP,SGD,7706.34
EMP0286,Joseph White,NLD,EUR,3487.58
EMP0287,Elizabeth Harris,SWE,SEK,4017.59
EMP0288,Thomas Martin,CHE,CHF,5577.06
EMP0289,Jessica Thompson,USA,USD,7562.60
EMP0290,Charles Garcia,ITA,EUR,5091.88
EMP0291,Susan Martinez,GBR,GBP,6607.02
EMP0292,Christopher Robinson,CAN,CAD,9428.29
EMP0293,Karen Clark,AUS,AUD,13630.53
EMP0294,Daniel Rodriguez,FRA,EUR,5617.43
EMP0295,Nancy Lewis,DEU,EUR,6433.56
EMP0296,Matthew Lee,JPN,JPY,10913.68
EMP0297,Betty Walker,SGP,SGD,11062.71
EMP0298,Anthony Hall,NLD,EUR,7004.61
EMP0299,Margaret Allen,SWE,SEK,9238.71
EMP0300,Mark Young,CHE,CHF,8066.52
EMP0301,Stacy Jones,USA,USD,9962.35
EMP0302,Gene Wells,ITA,EUR,4953.04
EMP0303,Sarah Chen,GBR,GBP,5658.33
EMP0304,Michael Smith,CAN,CAD,12521.06
EMP0305,Emily Johnson,AUS,AUD,14790.99
EMP0306,David Williams,FRA,EUR,5747.26
EMP0307,Lisa Brown,DEU,EUR,8669.57
EMP0308,James Davis,JPN,JPY,8533.28
EMP0309,Maria Miller,SGP,SGD,9062.11
EMP0310,Robert Wilson,NLD,EUR,12202.57
EMP0311,Jennifer Moore,SWE,SEK,6186.74
EMP0312,William Taylor,CHE,CHF,5673.33
EMP0313,Patricia Anderson,USA,USD,3318.75
EMP0314,Richard Thomas,ITA,EUR,11435.28
EMP0315,Linda Jackson,GBR,GBP,10063.77
EMP0316,Joseph White,CAN,CAD,10088.85
EMP0317,Elizabeth Harris,AUS,AUD,4605.81
EMP0318,Thomas Martin,FRA,EUR,11517.10
EMP0319,Jessica Thompson,DEU,EUR,10308.73
EMP0320,Charles Garcia,JPN,JPY,7605.05
EMP0321,Susan Martinez,SGP,SGD,4287.18
EMP0322,Christopher Robinson,NLD,EUR,10686.49
EMP0323,Karen Clark,SWE,SEK,14083.87
EMP0324,Daniel Rodriguez,CHE,CHF,4761.89
EMP0325,Nancy Lewis,USA,USD,12445.52
EMP0326,Matthew Lee,ITA,EUR,3014.21
EMP0327,Betty Walker,GBR,GBP,9552.25
EMP0328,Anthony Hall,CAN,CAD,3350.49
EMP0329,Margaret Allen,AUS,AUD,14327.71
EMP0330,Mark Young,FRA,EUR,6017.28
EMP0331,Stacy Jones,DEU,EUR,13273.70
EMP0332,Gene Wells,JPN,JPY,8038.75
EMP0333,Sarah Chen,SGP,SGD,10076.43
EMP0334,Michael Smith,NLD,EUR,12179.93
EMP0335,Emily Johnson,SWE,SEK,12558.10
EMP0336,David Williams,CHE,CHF,8460.78
EMP0337,Lisa Brown,USA,USD,11855.62
EMP0338,James Davis,ITA,EUR,9036.95
EMP0339,Maria Miller,GBR,GBP,13686.47
EMP0340,Robert Wilson,CAN,CAD,11036.53
EMP0341,Jennifer Moore,AUS,AUD,6520.34
EMP0342,William Taylor,FRA,EUR,4372.38
EMP0343,Patricia Anderson,DEU,EUR,7535.39
EMP0344,Richard Thomas,JPN,JPY,8452.66
EMP0345,Linda Jackson,SGP,SGD,5443.14
EMP0346,Joseph White,NLD,EUR,14559.59
EMP0347,Elizabeth Harris,SWE,SEK,8721.38
EMP0348,Thomas Martin,CHE,CHF,10982.28
EMP0349,Jessica Thompson,USA,USD,5914.71
EMP0350,Charles Garcia,ITA,EUR,13803.23
EMP0351,Susan Martinez,GBR,GBP,10296.20
EMP0352,Christopher Robinson,CAN,CAD,6795.86
EMP0353,Karen Clark,AUS,AUD,11434.25
EMP0354,Daniel Rodriguez,FRA,EUR,7728.06
EMP0355,Nancy Lewis,DEU,EUR,13227.17
EMP0356,Matthew Lee,JPN,JPY,13554.56
EMP0357,Betty Walker,SGP,SGD,13795.78
EMP0358,Anthony Hall,NLD,EUR,12186.76
EMP0359,Margaret Allen,SWE,SEK,13104.51
EMP0360,Mark Young,CHE,CHF,5192.80
EMP0361,Stacy Jones,USA,USD,7826.57
EMP0362,Gene Wells,ITA,EUR,14478.15
EMP0363,Sarah Chen,GBR,GBP,14325.35
EMP0364,Michael Smith,CAN,CAD,6205.14
EMP0365,Emily Johnson,AUS,AUD,7612.54
EMP0366,David Williams,FRA,EUR,9741.79
EMP0367,Lisa Brown,DEU,EUR,9055.30
EMP0368,James Davis,JPN,JPY,5463.21
EMP0369,Maria Miller,SGP,SGD,4457.55
EMP0370,Robert Wilson,NLD,EUR,10263.01
EMP0371,Jennifer Moore,SWE,SEK,6771.84
EMP0372,William Taylor,CHE,CHF,14650.20
EMP0373,Patricia Anderson,USA,USD,6436.04
EMP0374,Richard Thomas,ITA,EUR,6479.22
EMP0375,Linda Jackson,GBR,GBP,11677.25
EMP0376,Joseph White,CAN,CAD,7315.81
EMP0377,Elizabeth Harris,AUS,AUD,6517.38
EMP0378,Thomas Martin,FRA,EUR,8122.23
EMP0379,Jessica Thompson,DEU,EUR,12056.97
EMP0380,Charles Garcia,JPN,JPY,11325.27
EMP0381,Susan Martinez,SGP,SGD,12704.56
EMP0382,Christopher Robinson,NLD,EUR,3577.95
EMP0383,Karen Clark,SWE,SEK,11249.00
EMP0384,Daniel Rodriguez,CHE,CHF,3831.39
EMP0385,Nancy Lewis,USA,USD,9950.50
EMP0386,Matthew Lee,ITA,EUR,12591.10
EMP0387,Betty Walker,GBR,GBP,14685.22
EMP0388,Anthony Hall,CAN,CAD,7815.04
EMP0389,Margaret Allen,AUS,AUD,12711.07
EMP0390,Mark Young,FRA,EUR,12873.51
EMP0391,Stacy Jones,DEU,EUR,7274.28
EMP0392,Gene Wells,JPN,JPY,11524.33
EMP0393,Sarah Chen,SGP,SGD,6055.60
EMP0394,Michael Smith,NLD,EUR,13375.16
EMP0395,Emily Johnson,SWE,SEK,6759.39
EMP0396,David Williams,CHE,CHF,13609.41
EMP0397,Lisa Brown,USA,USD,12410.25
EMP0398,James Davis,ITA,EUR,11879.23
EMP0399,Maria Miller,GBR,GBP,8908.62
EMP0400,Robert Wilson,CAN,CAD,7608.58
EMP0401,Jennifer Moore,AUS,AUD,4817.04
EMP0402,William Taylor,FRA,EUR,13238.00
EMP0403,Patricia Anderson,DEU,EUR,12972.20
EMP0404,Richard Thomas,JPN,JPY,13105.19
EMP0405,Linda Jackson,SGP,SGD,3212.32
EMP0406,Joseph White,NLD,EUR,4878.94
EMP0407,Elizabeth Harris,SWE,SEK,10751.99
EMP0408,Thomas Martin,CHE,CHF,11125.66
EMP0409,Jessica Thompson,USA,USD,5395.76
EMP0410,Charles Garcia,ITA,EUR,5019.42
EMP0411,Susan Martinez,GBR,GBP,10660.14
EMP0412,Christopher Robinson,CAN,CAD,10505.62
EMP0413,Karen Clark,AUS,AUD,10017.02
EMP0414,Daniel Rodriguez,FRA,EUR,4673.35
EMP0415,Nancy Lewis,DEU,EUR,3198.03
EMP0416,Matthew Lee,JPN,JPY,6627.33
EMP0417,Betty Walker,SGP,SGD,14502.69
EMP0418,Anthony Hall,NLD,EUR,5088.98
EMP0419,Margaret Allen,SWE,SEK,5667.04
EMP0420,Mark Young,CHE,CHF,4292.77
EMP0421,Stacy Jones,USA,USD,11598.99
EMP0422,Gene Wells,ITA,EUR,11637.14
EMP0423,Sarah Chen,GBR,GBP,9870.47
EMP0424,Michael Smith,CAN,CAD,9210.31
EMP0425,Emily Johnson,AUS,AUD,10182.91
EMP0426,David Williams,FRA,EUR,9989.82
EMP0427,Lisa Brown,DEU,EUR,9725.45
EMP0428,James Davis,JPN,JPY,14057.04
EMP0429,Maria Miller,SGP,SGD,8695.83
EMP0430,Robert Wilson,NLD,EUR,5788.59
EMP0431,Jennifer Moore,SWE,SEK,3545.84
EMP0432,William Taylor,CHE,CHF,3212.14
EMP0433,Patricia Anderson,USA,USD,14019.02
EMP0434,Richard Thomas,ITA,EUR,3764.75
EMP0435,Linda Jackson,GBR,GBP,14206.97
EMP0436,Joseph White,CAN,CAD,9283.09
EMP0437,Elizabeth Harris,AUS,AUD,3092.71
EMP0438,Thomas Martin,FRA,EUR,5997.10
EMP0439,Jessica Thompson,DEU,EUR,6989.09
EMP0440,Charles Garcia,JPN,JPY,11344.55
EMP0441,Susan Martinez,SGP,SGD,12585.17
EMP0442,Christopher Robinson,NLD,EUR,6795.41
EMP0443,Karen Clark,SWE,SEK,4267.76
EMP0444,Daniel Rodriguez,CHE,CHF,8567.56
EMP0445,Nancy Lewis,USA,USD,12435.94
EMP0446,Matthew Lee,ITA,EUR,11017.56
EMP0447,Betty Walker,GBR,GBP,4913.69
EMP0448,Anthony Hall,CAN,CAD,4517.99
EMP0449,Margaret Allen,AUS,AUD,12162.78
EMP0450,Mark Young,FRA,EUR,13360.49
EMP0451,Stacy Jones,DEU,EUR,9453.69
EMP0452,Gene Wells,JPN,JPY,7659.46
EMP0453,Sarah Chen,SGP,SGD,13661.89
EMP0454,Michael Smith,NLD,EUR,14582.50
EMP0455,Emily Johnson,SWE,SEK,10501.31
EMP0456,David Williams,CHE,CHF,11085.07
EMP0457,Lisa Brown,USA,USD,13758.83
EMP0458,James Davis,ITA,EUR,7208.12
EMP0459,Maria Miller,GBR,GBP,13743.66
EMP0460,Robert Wilson,CAN,CAD,7763.09
EMP0461,Jennifer Moore,AUS,AUD,6048.49
EMP0462,William Taylor,FRA,EUR,14395.67
EMP0463,Patricia Anderson,DEU,EUR,13939.18
EMP0464,Richard Thomas,JPN,JPY,14848.53
EMP0465,Linda Jackson,SGP,SGD,7655.54
EMP0466,Joseph White,NLD,EUR,4597.44
EMP0467,Elizabeth Harris,SWE,SEK,14948.36
EMP0468,Thomas Martin,CHE,CHF,11483.88
EMP0469,Jessica Thompson,USA,USD,6535.12
EMP0470,Charles Garcia,ITA,EUR,12000.42
EMP0471,Susan Martinez,GBR,GBP,6518.54
EMP0472,Christopher Robinson,CAN,CAD,8702.51
EMP0473,Karen Clark,AUS,AUD,12108.91
EMP0474,Daniel Rodriguez,FRA,EUR,9952.81
EMP0475,Nancy Lewis,DEU,EUR,12713.70
EMP0476,Matthew Lee,JPN,JPY,11857.85
EMP0477,Betty Walker,SGP,SGD,13503.25
EMP0478,Anthony Hall,NLD,EUR,12246.77
EMP0479,Margaret Allen,SWE,SEK,6441.21
EMP0480,Mark Young,CHE,CHF,8255.99
EMP0481,Stacy Jones,USA,USD,9992.00
EMP0482,Gene Wells,ITA,EUR,10123.33
EMP0483,Sarah Chen,GBR,GBP,11918.73
EMP0484,Michael Smith,CAN,CAD,10786.30
EMP0485,Emily Johnson,AUS,AUD,3063.97
EMP0486,David Williams,FRA,EUR,7283.70
EMP0487,Lisa Brown,DEU,EUR,7062.06
EMP0488,James Davis,JPN,JPY,8779.25
EMP0489,Maria Miller,SGP,SGD,11263.27
EMP0490,Robert Wilson,NLD,EUR,12331.72
EMP0491,Jennifer Moore,SWE,SEK,6464.29
EMP0492,William Taylor,CHE,CHF,4549.74
EMP0493,Patricia Anderson,USA,USD,6399.71
EMP0494,Richard Thomas,ITA,EUR,12648.49
EMP0495,Linda Jackson,GBR,GBP,4865.43
EMP0496,Joseph White,CAN,CAD,12799.19
EMP0497,Elizabeth Harris,AUS,AUD,9694.13
EMP0498,Thomas Martin,FRA,EUR,8318.45
EMP0499,Jessica Thompson,DEU,EUR,10929.03
EMP0500,Charles Garcia,JPN,JPY,13069.75
EMP0501,Susan Martinez,SGP,SGD,9318.46
EMP0502,Christopher Robinson,NLD,EUR,6026.05
EMP0503,Karen Clark,SWE,SEK,8866.40
EMP0504,Daniel Rodriguez,CHE,CHF,6294.46
EMP0505,Nancy Lewis,USA,USD,12431.39
EMP0506,Matthew Lee,ITA,EUR,3283.64
EMP0507,Betty Walker,GBR,GBP,10084.77
EMP0508,Anthony Hall,CAN,CAD,9535.62
EMP0509,Margaret Allen,AUS,AUD,9663.78
EMP0510,Mark Young,FRA,EUR,4012.47
EMP0511,Stacy Jones,DEU,EUR,9885.82
EMP0512,Gene Wells,JPN,JPY,4686.40
EMP0513,Sarah Chen,SGP,SGD,5194.80
EMP0514,Michael Smith,NLD,EUR,14202.36
EMP0515,Emily Johnson,SWE,SEK,3033.15
EMP0516,David Williams,CHE,CHF,4458.14
EMP0517,Lisa Brown,USA,USD,12763.81
EMP0518,James Davis,ITA,EUR,5495.72
EMP0519,Maria Miller,GBR,GBP,9250.74
EMP0520,Robert Wilson,CAN,CAD,10823.89
EMP0521,Jennifer Moore,AUS,AUD,12305.32
EMP0522,William Taylor,FRA,EUR,11371.31
EMP0523,Patricia Anderson,DEU,EUR,14909.56
EMP0524,Richard Thomas,JPN,JPY,12616.14
EMP0525,Linda Jackson,SGP,SGD,3521.64
